# Residuals                 
# Time                      	p                           	Ux                          	Uy                          	e                           	k                           	omega                       
7.80817e-09                 	8.63647436990956381059e-10	3.12998011463522444035e-11	1.01119555394811342946e-09	3.47207347280149812641e-09	3.63843409746295039915e-07	1.24142300119053388389e-11
7.88703e-09                 	9.23835182181832402747e-10	3.35466581821379779009e-11	1.06355140087263599110e-09	3.72304046592214125839e-09	3.89310496362627598837e-07	1.32849237462214135634e-11
7.96725e-09                 	9.39351959300733886052e-10	3.45897889078928196237e-11	1.16476855995317547377e-09	4.25113186258340333431e-09	3.95964403702627902382e-07	1.35259073168142377627e-11
8.05237e-09                 	9.95480621520478145367e-10	9.50794241184925757198e-11	1.52440022249999311109e-09	5.63880977882612084349e-09	4.20097834695676193979e-07	1.42765824747856991874e-11
8.13446e-09                 	9.60070992974584537291e-10	8.60290683755566749366e-11	1.41038887088847475618e-09	7.82561032314684279690e-09	4.05035631827595089094e-07	1.37006889136524484216e-11
8.22034e-09                 	1.00317619293498118634e-09	9.58630017826690281229e-11	1.83791993034601843509e-09	6.62280737631366393049e-09	4.23754834788656632716e-07	1.43234692688974529586e-11
8.30095e-09                 	9.44942417257873389778e-10	9.12282746132780167007e-11	1.69205274719403897224e-09	6.45733537516140127003e-09	3.97713638486400034945e-07	1.34351398573321159816e-11
8.3822e-09                  	9.52605463127436225578e-10	9.44507883512301519928e-11	1.62598725908402969832e-09	7.76668215164364899624e-09	4.00860710831318936476e-07	1.35362436522998551026e-11
8.45894e-09                 	8.98106125696479167647e-10	1.16830931736818756037e-10	1.49270282810171853289e-09	6.85027771447196584512e-09	3.78664103361572674510e-07	1.27830295858892883767e-11
8.53881e-09                 	9.35575790915615372224e-10	7.10330329697976571579e-11	1.23417909156646982284e-09	6.86848442452190864051e-09	3.94063239133410355718e-07	1.33003730795915519090e-11
8.62765e-09                 	1.03845699624752971169e-09	8.01879817657409978320e-11	1.46255247569681802693e-09	7.50406316546778446268e-09	4.38309391331407596102e-07	1.47916393905756221239e-11
8.72001e-09                 	1.07782237242299907796e-09	7.48679739889011773065e-11	1.07577176921728936564e-09	7.72723256827189115050e-09	4.55708476449508870331e-07	1.53760726411684630574e-11
8.82164e-09                 	1.18464734824074423051e-09	8.27668280632645502912e-11	1.16437787437829044168e-09	8.28784257946891293525e-09	5.01397036534427098074e-07	1.69148638199247867717e-11
8.92418e-09                 	1.19480100849239405831e-09	8.57521067096696823246e-11	1.31343010231851127350e-09	8.10594878657066830922e-09	5.05928761582402103374e-07	1.70642929347626564580e-11
9.02757e-09                 	1.20454294666558239236e-09	8.37427559289297413961e-11	1.12605960598780227036e-09	7.95566607560329351003e-09	5.10132283675711850682e-07	1.72027102980788052580e-11
9.13177e-09                 	1.21436685025485046328e-09	5.20718861007182714041e-11	1.09461167709002352632e-09	7.86224076268075754340e-09	5.14106946295132723845e-07	1.73334600657966959912e-11
9.23674e-09                 	1.22418021122209618975e-09	5.25961842850082518981e-11	1.09219367409448172558e-09	7.56141069326586562544e-09	5.17905532870803128869e-07	1.74583137887374572685e-11
9.34245e-09                 	1.23352429032571537250e-09	5.28078111961280834895e-11	1.06805741466160071538e-09	7.32537638105023378651e-09	5.21548464256301735785e-07	1.75779549725880498625e-11
9.44887e-09                 	1.24193260729650793945e-09	5.36807843044350575516e-11	1.03780777686571773235e-09	7.15315931607047644089e-09	5.25045273941799587452e-07	1.76926959764804420859e-11
9.55596e-09                 	1.24923860221165688323e-09	5.36282104052412110181e-11	9.70308533708109237360e-10	7.10390804798500780409e-09	5.28335761753276994728e-07	1.78027727533150091591e-11
9.66371e-09                 	1.25591902637954146905e-09	5.37122067006221936136e-11	9.64169259913816468421e-10	6.67442011831637758333e-09	5.31545254541053684686e-07	1.79078844512899150299e-11
9.77214e-09                 	1.26354729990942518356e-09	5.42415868316618790928e-11	9.56771991840211306028e-10	6.50166265022276892167e-09	5.34896180237991236240e-07	1.80177214496940798113e-11
9.88126e-09                 	1.27125358735817433705e-09	5.74938006017672164324e-11	9.85047642861418596456e-10	6.44592496471727721345e-09	5.38326305313523336408e-07	1.81301336850474398987e-11
9.99108e-09                 	1.27925981336399917411e-09	6.92009071912187259681e-11	1.12647302272919014869e-09	6.36477095112691284420e-09	5.41814650369497303788e-07	1.82443659204899324193e-11
1.01016e-08                 	1.28726669892296950870e-09	6.95778915485587797383e-11	1.11232053960917211971e-09	6.21449486566692405922e-09	5.45236980251528214577e-07	1.83562625731744158739e-11
1.02128e-08                 	1.29699924942171011051e-09	6.96222861185988579600e-11	1.09951829106517182440e-09	6.22105357480346192814e-09	5.48475928063692481191e-07	1.84618848701809524561e-11
1.03245e-08                 	1.30396670960091805057e-09	6.82864583238896530688e-11	1.09559292181527031035e-09	6.70705264050493140378e-09	5.51412998920201938008e-07	1.85579412290558037525e-11
1.04369e-08                 	1.30895911146144550297e-09	6.91407256258802181890e-11	1.13053995868397025957e-09	6.61166633537661501202e-09	5.54047294664717409375e-07	1.86437200595061180053e-11
1.05497e-08                 	1.31398008501951371986e-09	6.67130959587205970773e-11	1.08075533666335857235e-09	6.38284850237535963545e-09	5.56510021122388129757e-07	1.87228240601743969627e-11
1.0663e-08                  	1.31956527370107432113e-09	1.27513904226944457815e-10	1.14565735236186714035e-09	6.21513458624596217559e-09	5.58967952514843636290e-07	1.88011535922153961606e-11
1.07767e-08                 	1.32506874550190605245e-09	1.45180761995339764781e-10	1.15115982765274912635e-09	6.41997541185083400968e-09	5.61234789421129016818e-07	1.88748055179053133547e-11
1.08909e-08                 	1.33064698471859632105e-09	1.46631976200437202535e-10	1.13022752951907356551e-09	6.65272591387439262062e-09	5.63375946453544497408e-07	1.89458264194811125648e-11
1.10055e-08                 	1.33555280490591750009e-09	1.49069597702710637691e-10	1.14606179240603098276e-09	6.62147873082686059527e-09	5.65536020121424749459e-07	1.90165468911955796435e-11
1.11206e-08                 	1.34067206671121611978e-09	1.40553421058037239928e-10	1.06943509488298097985e-09	6.42886232782989280598e-09	5.67698892507238995627e-07	1.90870608718838484239e-11
1.12361e-08                 	1.34562084485851560811e-09	1.39571407173833486012e-10	1.05035214770742494689e-09	6.29690024187710677153e-09	5.69861488051607804980e-07	1.91574933424892942521e-11
1.13521e-08                 	1.35100927909367016486e-09	1.84731018696112265501e-10	1.17045340875430458264e-09	6.19363562072750954292e-09	5.72003981634965465850e-07	1.92272320505724391001e-11
1.14684e-08                 	1.35665362347750871639e-09	1.54659436744074729314e-10	1.09443888918600714307e-09	6.07992537397844051267e-09	5.74141214191992552155e-07	1.92967552469652390676e-11
1.15853e-08                 	1.36239450051933198270e-09	1.81083664298043545308e-10	1.19463183896643303367e-09	5.99056636650329753453e-09	5.76345260970211926547e-07	1.93666226984226979110e-11
1.17025e-08                 	1.36912151046344223702e-09	1.66352368542792502194e-10	1.23249334253432789332e-09	5.97680661799197563586e-09	5.78434794434659878561e-07	1.94355363309836344174e-11
1.18201e-08                 	1.37705408956774119604e-09	1.90242739299631382842e-10	1.12669502829631733973e-09	5.98157201920527790993e-09	5.80358727151146760724e-07	1.94986122027818252750e-11
1.19381e-08                 	1.39420634368897233024e-09	1.62822829961341589684e-10	1.26537999714990807609e-09	6.49573598172016967606e-09	5.82144133380658519743e-07	1.95569026358103776863e-11
1.19668e-08                 	3.51921764176319876020e-10	5.31728619830161144260e-11	2.36897060292814918648e-10	9.21597791041499553151e-09	1.41428654679116928261e-07	4.74889598856405415716e-12
1.20012e-08                 	4.17001246782958312216e-10	6.23479553673785030212e-11	2.90270433532317769943e-10	3.22079072147939588091e-09	1.69714214178267866578e-07	5.69921029214220754364e-12
1.20424e-08                 	4.96592026663032417613e-10	6.45790505206558011730e-11	3.38016091166365962401e-10	3.03049344172845382580e-09	2.03656811108749009409e-07	6.83950653881246080593e-12
1.2092e-08                  	5.93767713452200486351e-10	7.57424585364467110198e-11	4.01030206196988396716e-10	3.48127428999400852089e-09	2.44387821553725836118e-07	8.20777562469804140159e-12
1.21514e-08                 	7.08491080293077281058e-10	8.95762297344135509733e-11	4.82366893401563300885e-10	4.30448967984919599152e-09	2.93264829897366041472e-07	9.84958309220081318454e-12
