# Force coefficients        
# liftDir                   : (-2.39732967011547337677e-01 9.70838866407726985841e-01 0.00000000000000000000e+00)
# dragDir                   : (9.70838866407726985841e-01 2.39732967011547337677e-01 0.00000000000000000000e+00)
# pitchAxis                 : (0.00000000000000000000e+00 0.00000000000000000000e+00 1.00000000000000000000e+00)
# magUInf                   : 6.18022000000000048203e+02
# lRef                      : 1.00000000000000000000e+00
# Aref                      : 1.00000000000000000000e+00
# CofR                      : (0.00000000000000000000e+00 0.00000000000000000000e+00 0.00000000000000000000e+00)
# Time                      	Cm                          	Cd                          	Cl                          	Cl(f)                       	Cl(r)                       
1.81985e-45                 	7.51754936884192079965e-15	4.68844202609960403194e-01	-1.15773498205500591229e-01	-5.78867491027427807926e-02	-5.78867491027578104368e-02
2.18387e-45                 	7.51515888693371169081e-15	4.68844202609960403194e-01	-1.15773498205500591229e-01	-5.78867491027427807926e-02	-5.78867491027578104368e-02
2.62069e-45                 	7.51515423619070021859e-15	4.68844202609960403194e-01	-1.15773498205500591229e-01	-5.78867491027427807926e-02	-5.78867491027578104368e-02
3.14487e-45                 	7.51754936884192079965e-15	4.68844202609960403194e-01	-1.15773498205500507963e-01	-5.78867491027427391592e-02	-5.78867491027577688034e-02
3.77389e-45                 	7.51516818841973621297e-15	4.68844202609960403194e-01	-1.15773498205500591229e-01	-5.78867491027427807926e-02	-5.78867491027578104368e-02
4.52872e-45                 	7.47706930166478440379e-15	4.68844202609960403194e-01	-1.15773498205500591229e-01	-5.78867491027428154871e-02	-5.78867491027577757423e-02
5.43451e-45                 	7.51814931469047802411e-15	4.68844202609960403194e-01	-1.15773498205500507963e-01	-5.78867491027427391592e-02	-5.78867491027577688034e-02
6.52146e-45                 	7.55564825559687260883e-15	4.68844202609960347683e-01	-1.15773498205500577352e-01	-5.78867491027427322203e-02	-5.78867491027578451313e-02
7.8258e-45                  	7.55566220782590860320e-15	4.68844202609960347683e-01	-1.15773498205500577352e-01	-5.78867491027427322203e-02	-5.78867491027578451313e-02
9.39101e-45                 	7.51873530831000083191e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027427530370e-02	-5.78867491027577965590e-02
1.12693e-44                 	7.51845626372927621124e-15	4.68844202609960347683e-01	-1.15773498205500577352e-01	-5.78867491027427669148e-02	-5.78867491027578104368e-02
1.35232e-44                 	7.51845626372927621124e-15	4.68844202609960236661e-01	-1.15773498205500480207e-01	-5.78867491027427183425e-02	-5.78867491027577618645e-02
1.62278e-44                 	7.51844696224325168909e-15	4.68844202609960236661e-01	-1.15773498205500480207e-01	-5.78867491027427183425e-02	-5.78867491027577618645e-02
1.94735e-44                 	7.51964220319735624351e-15	4.68844202609960236661e-01	-1.15773498205500480207e-01	-5.78867491027427183425e-02	-5.78867491027577618645e-02
2.33682e-44                 	7.51844231150024021687e-15	4.68844202609960236661e-01	-1.15773498205500480207e-01	-5.78867491027427183425e-02	-5.78867491027577618645e-02
2.80419e-44                 	7.51725172128914713467e-15	4.68844202609960236661e-01	-1.15773498205500480207e-01	-5.78867491027427252814e-02	-5.78867491027577549256e-02
3.36503e-44                 	7.51845626372927621124e-15	4.68844202609960236661e-01	-1.15773498205500480207e-01	-5.78867491027427183425e-02	-5.78867491027577618645e-02
4.03804e-44                 	7.48036667846034734650e-15	4.68844202609960236661e-01	-1.15773498205500396940e-01	-5.78867491027427183425e-02	-5.78867491027576785978e-02
4.84566e-44                 	7.48036202771733587428e-15	4.68844202609960125638e-01	-1.15773498205500438574e-01	-5.78867491027427391592e-02	-5.78867491027576994145e-02
5.81479e-44                 	7.47798084729515128760e-15	4.68844202609960181150e-01	-1.15773498205500383063e-01	-5.78867491027427114036e-02	-5.78867491027576716589e-02
6.97776e-44                 	7.47885518698142166051e-15	4.68844202609960181150e-01	-1.15773498205500452451e-01	-5.78867491027427460981e-02	-5.78867491027577063534e-02
8.37331e-44                 	7.48006438016456220930e-15	4.68844202609960181150e-01	-1.15773498205500535718e-01	-5.78867491027427877315e-02	-5.78867491027577479867e-02
1.0048e-43                  	7.44135159533201560357e-15	4.68844202609960181150e-01	-1.15773498205500535718e-01	-5.78867491027428293648e-02	-5.78867491027577063534e-02
1.20576e-43                 	7.47826454261888738048e-15	4.68844202609960125638e-01	-1.15773498205500507963e-01	-5.78867491027427738537e-02	-5.78867491027577341089e-02
1.44691e-43                 	7.47706930166478440379e-15	4.68844202609960125638e-01	-1.15773498205500605107e-01	-5.78867491027428224259e-02	-5.78867491027577826812e-02
1.73629e-43                 	7.47825989187587590827e-15	4.68844202609960125638e-01	-1.15773498205500605107e-01	-5.78867491027428224259e-02	-5.78867491027577826812e-02
2.08355e-43                 	7.47825989187587590827e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027427946704e-02	-5.78867491027577549256e-02
2.50026e-43                 	7.47796224432310224329e-15	4.68844202609960181150e-01	-1.15773498205500535718e-01	-5.78867491027427877315e-02	-5.78867491027577479867e-02
3.00031e-43                 	7.51606578182106710241e-15	4.68844202609960181150e-01	-1.15773498205500535718e-01	-5.78867491027427530370e-02	-5.78867491027577826812e-02
3.60038e-43                 	7.51725637203215860689e-15	4.68844202609960181150e-01	-1.15773498205500452451e-01	-5.78867491027427114036e-02	-5.78867491027577410478e-02
