# Residuals     
# Time          	p               	Ux              	Uz              	e               	k               	omega           
0.00132         	1.02163948e-02	5.09884518e-03	1.28113360e-02	1.32472131e-02	1.94072428e-03	1.91396821e-04
0.00134         	1.03437400e-02	5.15784408e-03	1.27187227e-02	1.33953634e-02	1.91772522e-03	1.89996944e-04
0.00136         	1.04809998e-02	5.21428130e-03	1.26101277e-02	1.35508982e-02	1.89872230e-03	1.88697153e-04
0.00138         	1.06098298e-02	5.27295516e-03	1.25119665e-02	1.37088508e-02	1.87809634e-03	1.87461494e-04
0.0014          	1.07263766e-02	5.33508212e-03	1.24371417e-02	1.38612673e-02	1.85476370e-03	1.86183093e-04
0.00142         	1.08652178e-02	5.39955741e-03	1.23486939e-02	1.39975222e-02	1.83482918e-03	1.84819724e-04
0.00144         	1.09954862e-02	5.46253627e-03	1.22376853e-02	1.41636669e-02	1.81798864e-03	1.83579268e-04
0.00146         	1.11067403e-02	5.52624803e-03	1.21708026e-02	1.43099976e-02	1.79778847e-03	1.82435563e-04
0.00148         	1.12210997e-02	5.59381194e-03	1.21024810e-02	1.44363593e-02	1.77526280e-03	1.81377853e-04
0.0015          	1.13504594e-02	5.66241269e-03	1.20058266e-02	1.45771919e-02	1.75831978e-03	1.80322781e-04
0.00152         	1.14709354e-02	5.73212033e-03	1.19212668e-02	1.47275541e-02	1.74121773e-03	1.79135652e-04
0.00154         	1.15639653e-02	5.80018563e-03	1.18566417e-02	1.48541675e-02	1.72045686e-03	1.78040328e-04
0.00156         	1.16621235e-02	5.88323563e-03	1.17898144e-02	1.49537781e-02	1.70069781e-03	1.77038321e-04
0.00158         	1.17768389e-02	5.97594492e-03	1.16937631e-02	1.50797157e-02	1.68468931e-03	1.76157576e-04
0.0016          	1.18815488e-02	6.07812016e-03	1.16241980e-02	1.52069525e-02	1.66739159e-03	1.75210136e-04
0.00162         	1.19517377e-02	6.17911670e-03	1.15645757e-02	1.53171505e-02	1.64742696e-03	1.74233785e-04
0.00164         	1.20336405e-02	6.28501742e-03	1.14932040e-02	1.53850205e-02	1.62920371e-03	1.73310105e-04
0.00166         	1.21290975e-02	6.39906155e-03	1.14100271e-02	1.54827001e-02	1.61321432e-03	1.72467701e-04
0.00168         	1.22133026e-02	6.51540441e-03	1.13341500e-02	1.55871224e-02	1.59649250e-03	1.71731003e-04
0.0017          	1.22781694e-02	6.63216564e-03	1.12797008e-02	1.56683657e-02	1.57800553e-03	1.70832103e-04
0.00172         	1.23339148e-02	6.74477455e-03	1.12138660e-02	1.57259093e-02	1.56268895e-03	1.70010437e-04
0.00174         	1.24183267e-02	6.86531384e-03	1.11341826e-02	1.57885484e-02	1.54757044e-03	1.69235628e-04
0.00176         	1.24928784e-02	6.98614658e-03	1.10554571e-02	1.58821428e-02	1.53160177e-03	1.68562668e-04
0.00178         	1.25467398e-02	7.10488150e-03	1.10063921e-02	1.59435128e-02	1.51439349e-03	1.67917204e-04
0.0018          	1.26074048e-02	7.22399123e-03	1.09452497e-02	1.59956761e-02	1.50023782e-03	1.67136358e-04
0.00182         	1.26786990e-02	7.33892568e-03	1.08709138e-02	1.60465459e-02	1.48696932e-03	1.66470669e-04
0.00184         	1.27544559e-02	7.45779193e-03	1.07989691e-02	1.61281266e-02	1.47243293e-03	1.65854618e-04
0.00186         	1.28164271e-02	7.57416679e-03	1.07447834e-02	1.61987252e-02	1.45755546e-03	1.65323339e-04
0.00188         	1.28839747e-02	7.69318076e-03	1.06908390e-02	1.62552210e-02	1.44363117e-03	1.64710662e-04
0.0019          	1.29640132e-02	7.81044092e-03	1.06231356e-02	1.63167447e-02	1.43136322e-03	1.64121524e-04
0.00192         	1.30428096e-02	7.92378257e-03	1.05634454e-02	1.63984494e-02	1.41860326e-03	1.63603451e-04
0.00194         	1.31075919e-02	8.03538701e-03	1.05081249e-02	1.64710654e-02	1.40506754e-03	1.63141582e-04
0.00196         	1.31790801e-02	8.15286217e-03	1.04573337e-02	1.65295202e-02	1.39148507e-03	1.62703731e-04
0.00198         	1.32578573e-02	8.26836999e-03	1.03958462e-02	1.66040472e-02	1.37919430e-03	1.62174599e-04
0.002           	1.33400449e-02	8.38272446e-03	1.03425085e-02	1.63882722e-02	1.36757188e-03	1.61767077e-04
0.00202         	1.34179135e-02	8.49192351e-03	1.02928605e-02	1.61263358e-02	1.35611719e-03	1.61390384e-04
0.00204         	1.34790993e-02	8.59374278e-03	1.02458983e-02	1.58559329e-02	1.34426507e-03	1.61059673e-04
0.00206         	1.35552461e-02	8.70451317e-03	1.01924119e-02	1.55856519e-02	1.33244868e-03	1.60588500e-04
0.00208         	1.36470580e-02	8.81097607e-03	1.01322870e-02	1.53403921e-02	1.32128746e-03	1.60191211e-04
0.0021          	1.37306013e-02	8.91337223e-03	1.00846260e-02	1.51142956e-02	1.30989394e-03	1.59880941e-04
0.00212         	1.38057877e-02	9.01150937e-03	1.00453033e-02	1.48770864e-02	1.29810158e-03	1.59601918e-04
0.00214         	1.38800599e-02	9.10563193e-03	1.00029578e-02	1.46460521e-02	1.28702411e-03	1.59237888e-04
0.00216         	1.39632774e-02	9.19147858e-03	9.94262404e-03	1.44180563e-02	1.27666876e-03	1.58879842e-04
0.00218         	1.40535659e-02	9.28191746e-03	9.89042500e-03	1.42135776e-02	1.26651793e-03	1.58596626e-04
0.0022          	1.41444392e-02	9.36532158e-03	9.84855629e-03	1.40170289e-02	1.25643581e-03	1.58363222e-04
0.00222         	1.42181244e-02	9.27207071e-03	9.81414246e-03	1.38229692e-02	1.24601340e-03	1.58065207e-04
0.00224         	1.42943150e-02	9.11996130e-03	9.77202292e-03	1.36178498e-02	1.23539935e-03	1.57687906e-04
0.00226         	1.43894394e-02	8.97546147e-03	9.71892782e-03	1.34311207e-02	1.22522450e-03	1.57333232e-04
0.00228         	1.44828911e-02	8.83224424e-03	9.66276625e-03	1.32606540e-02	1.21569282e-03	1.57031284e-04
0.0023          	1.45684114e-02	8.70198251e-03	9.62831472e-03	1.30944320e-02	1.20597805e-03	1.56656906e-04
