 Part 2.

  A specification of experimentally based turbulent viscosities and
turbulent length scales in the bulk of the flow. The values beyond
3.0 diameters were obtained from a k-e solution in that region.

  To obtain a value at any arbitary point use bilinear interpolation
between the four surrounding points. The (FORTRAN) format used to read
these numbers should be: 4E13.3

    Axial        Radial       Turbulent    Length
    position     position     viscosity    scale
    9.500E-01    2.200E-01    1.755E-03    1.057E-02
    9.500E-01    2.400E-01    1.949E-03    1.087E-02
    9.500E-01    2.600E-01    2.224E-03    1.180E-02
    9.500E-01    2.800E-01    2.521E-03    1.315E-02
    9.500E-01    3.000E-01    2.669E-03    1.423E-02
    9.500E-01    3.200E-01    2.797E-03    1.494E-02
    9.500E-01    3.400E-01    2.761E-03    1.526E-02
    9.500E-01    3.600E-01    2.573E-03    1.522E-02
    9.500E-01    3.800E-01    2.303E-03    1.481E-02
    9.500E-01    4.000E-01    1.972E-03    1.399E-02
    9.500E-01    4.200E-01    1.626E-03    1.298E-02
    9.500E-01    4.400E-01    1.316E-03    1.220E-02
    9.500E-01    4.600E-01    8.320E-04    9.473E-03
    9.500E-01    4.800E-01    2.914E-04    4.706E-03
    9.500E-01    5.000E-01    0.000E+00    0.000E+00
    1.050E+00    0.000E+00    4.121E-04    9.088E-03
    1.050E+00    2.000E-02    4.144E-04    8.960E-03
    1.050E+00    4.000E-02    4.118E-04    8.633E-03
    1.050E+00    6.000E-02    4.070E-04    8.123E-03
    1.050E+00    8.000E-02    4.317E-04    7.811E-03
    1.050E+00    1.000E-01    4.895E-04    7.806E-03
    1.050E+00    1.200E-01    5.970E-04    8.463E-03
    1.050E+00    1.400E-01    7.955E-04    9.280E-03
    1.050E+00    1.600E-01    1.057E-03    9.996E-03
    1.050E+00    1.800E-01    1.353E-03    1.049E-02
    1.050E+00    2.000E-01    1.686E-03    1.097E-02
    1.050E+00    2.200E-01    1.965E-03    1.141E-02
    1.050E+00    2.400E-01    2.194E-03    1.186E-02
    1.050E+00    2.600E-01    2.492E-03    1.285E-02
    1.050E+00    2.800E-01    2.799E-03    1.418E-02
    1.050E+00    3.000E-01    2.961E-03    1.524E-02
    1.050E+00    3.200E-01    3.070E-03    1.588E-02
    1.050E+00    3.400E-01    3.026E-03    1.615E-02
    1.050E+00    3.600E-01    2.833E-03    1.601E-02
    1.050E+00    3.800E-01    2.550E-03    1.544E-02
    1.050E+00    4.000E-01    2.200E-03    1.449E-02
    1.050E+00    4.200E-01    1.845E-03    1.352E-02
    1.050E+00    4.400E-01    1.504E-03    1.264E-02
    1.050E+00    4.600E-01    9.475E-04    9.687E-03
    1.050E+00    4.800E-01    3.310E-04    4.760E-03
    1.050E+00    5.000E-01    0.000E+00    0.000E+00
    1.150E+00    0.000E+00    4.280E-04    9.086E-03
    1.150E+00    2.000E-02    4.340E-04    8.957E-03
    1.150E+00    4.000E-02    4.309E-04    8.652E-03
    1.150E+00    6.000E-02    4.257E-04    8.120E-03
    1.150E+00    8.000E-02    4.623E-04    7.914E-03
    1.150E+00    1.000E-01    5.506E-04    8.271E-03
    1.150E+00    1.200E-01    7.078E-04    9.034E-03
    1.150E+00    1.400E-01    9.378E-04    9.816E-03
    1.150E+00    1.600E-01    1.216E-03    1.051E-02
    1.150E+00    1.800E-01    1.523E-03    1.109E-02
    1.150E+00    2.000E-01    1.863E-03    1.165E-02
    1.150E+00    2.200E-01    2.163E-03    1.217E-02
    1.150E+00    2.400E-01    2.417E-03    1.271E-02
    1.150E+00    2.600E-01    2.729E-03    1.374E-02
    1.150E+00    2.800E-01    3.035E-03    1.503E-02
    1.150E+00    3.000E-01    3.202E-03    1.605E-02
    1.150E+00    3.200E-01    3.296E-03    1.666E-02
    1.150E+00    3.400E-01    3.249E-03    1.692E-02
    1.150E+00    3.600E-01    3.072E-03    1.681E-02
    1.150E+00    3.800E-01    2.809E-03    1.631E-02
    1.150E+00    4.000E-01    2.469E-03    1.543E-02
    1.150E+00    4.200E-01    2.102E-03    1.447E-02
    1.150E+00    4.400E-01    1.722E-03    1.345E-02
    1.150E+00    4.600E-01    1.080E-03    1.016E-02
    1.150E+00    4.800E-01    3.749E-04    4.918E-03
    1.150E+00    5.000E-01    0.000E+00    0.000E+00
    1.250E+00    0.000E+00    4.563E-04    9.072E-03
    1.250E+00    2.000E-02    4.652E-04    8.949E-03
    1.250E+00    4.000E-02    4.652E-04    8.687E-03
    1.250E+00    6.000E-02    4.678E-04    8.215E-03
    1.250E+00    8.000E-02    5.240E-04    8.169E-03
    1.250E+00    1.000E-01    6.466E-04    8.828E-03
    1.250E+00    1.200E-01    8.456E-04    9.614E-03
    1.250E+00    1.400E-01    1.097E-03    1.031E-02
    1.250E+00    1.600E-01    1.384E-03    1.098E-02
    1.250E+00    1.800E-01    1.699E-03    1.165E-02
    1.250E+00    2.000E-01    2.041E-03    1.228E-02
    1.250E+00    2.200E-01    2.350E-03    1.286E-02
    1.250E+00    2.400E-01    2.619E-03    1.346E-02
    1.250E+00    2.600E-01    2.933E-03    1.449E-02
    1.250E+00    2.800E-01    3.230E-03    1.573E-02
    1.250E+00    3.000E-01    3.391E-03    1.670E-02
    1.250E+00    3.200E-01    3.479E-03    1.732E-02
    1.250E+00    3.400E-01    3.439E-03    1.762E-02
    1.250E+00    3.600E-01    3.297E-03    1.764E-02
    1.250E+00    3.800E-01    3.078E-03    1.735E-02
    1.250E+00    4.000E-01    2.770E-03    1.671E-02
    1.250E+00    4.200E-01    2.384E-03    1.575E-02
    1.250E+00    4.400E-01    1.948E-03    1.454E-02
    1.250E+00    4.600E-01    1.209E-03    1.081E-02
    1.250E+00    4.800E-01    4.151E-04    5.153E-03
    1.250E+00    5.000E-01    0.000E+00    0.000E+00
    1.350E+00    0.000E+00    5.067E-04    9.074E-03
    1.350E+00    2.000E-02    5.087E-04    8.905E-03
    1.350E+00    4.000E-02    5.166E-04    8.683E-03
    1.350E+00    6.000E-02    5.501E-04    8.530E-03
    1.350E+00    8.000E-02    6.417E-04    8.786E-03
    1.350E+00    1.000E-01    7.856E-04    9.444E-03
    1.350E+00    1.200E-01    1.020E-03    1.022E-02
    1.350E+00    1.400E-01    1.297E-03    1.093E-02
    1.350E+00    1.600E-01    1.597E-03    1.163E-02
    1.350E+00    1.800E-01    1.914E-03    1.232E-02
    1.350E+00    2.000E-01    2.253E-03    1.300E-02
    1.350E+00    2.200E-01    2.552E-03    1.362E-02
    1.350E+00    2.400E-01    2.819E-03    1.428E-02
    1.350E+00    2.600E-01    3.128E-03    1.530E-02
    1.350E+00    2.800E-01    3.412E-03    1.649E-02
    1.350E+00    3.000E-01    3.563E-03    1.744E-02
    1.350E+00    3.200E-01    3.656E-03    1.807E-02
    1.350E+00    3.400E-01    3.640E-03    1.842E-02
    1.350E+00    3.600E-01    3.521E-03    1.849E-02
    1.350E+00    3.800E-01    3.310E-03    1.828E-02
    1.350E+00    4.000E-01    3.008E-03    1.776E-02
    1.350E+00    4.200E-01    2.606E-03    1.701E-02
    1.350E+00    4.400E-01    2.078E-03    1.553E-02
    1.350E+00    4.600E-01    1.247E-03    1.129E-02
    1.350E+00    4.800E-01    4.222E-04    5.328E-03
    1.350E+00    5.000E-01    0.000E+00    0.000E+00
    1.450E+00    0.000E+00    5.454E-04    9.075E-03
    1.450E+00    2.000E-02    5.459E-04    8.909E-03
    1.450E+00    4.000E-02    5.666E-04    8.777E-03
    1.450E+00    6.000E-02    6.376E-04    8.969E-03
    1.450E+00    8.000E-02    7.713E-04    9.533E-03
    1.450E+00    1.000E-01    9.390E-04    1.020E-02
    1.450E+00    1.200E-01    1.203E-03    1.094E-02
    1.450E+00    1.400E-01    1.500E-03    1.165E-02
    1.450E+00    1.600E-01    1.814E-03    1.236E-02
    1.450E+00    1.800E-01    2.133E-03    1.307E-02
    1.450E+00    2.000E-01    2.467E-03    1.376E-02
    1.450E+00    2.200E-01    2.752E-03    1.443E-02
    1.450E+00    2.400E-01    3.015E-03    1.512E-02
    1.450E+00    2.600E-01    3.313E-03    1.613E-02
    1.450E+00    2.800E-01    3.578E-03    1.726E-02
    1.450E+00    3.000E-01    3.712E-03    1.818E-02
    1.450E+00    3.200E-01    3.803E-03    1.882E-02
    1.450E+00    3.400E-01    3.802E-03    1.922E-02
    1.450E+00    3.600E-01    3.706E-03    1.936E-02
    1.450E+00    3.800E-01    3.511E-03    1.926E-02
    1.450E+00    4.000E-01    3.222E-03    1.888E-02
    1.450E+00    4.200E-01    2.829E-03    1.831E-02
    1.450E+00    4.400E-01    2.236E-03    1.657E-02
    1.450E+00    4.600E-01    1.314E-03    1.181E-02
    1.450E+00    4.800E-01    4.404E-04    5.516E-03
    1.450E+00    5.000E-01    0.000E+00    0.000E+00
    1.550E+00    0.000E+00    5.701E-04    8.988E-03
    1.550E+00    2.000E-02    5.838E-04    9.021E-03
    1.550E+00    4.000E-02    6.314E-04    9.145E-03
    1.550E+00    6.000E-02    7.451E-04    9.665E-03
    1.550E+00    8.000E-02    9.184E-04    1.043E-02
    1.550E+00    1.000E-01    1.110E-03    1.108E-02
    1.550E+00    1.200E-01    1.398E-03    1.178E-02
    1.550E+00    1.400E-01    1.711E-03    1.248E-02
    1.550E+00    1.600E-01    2.035E-03    1.318E-02
    1.550E+00    1.800E-01    2.355E-03    1.388E-02
