 Part 1.

  A specification of both the velocity and turbulence fields at a
distance 0.05 diameters downstream of the expansion.

  The data has been specified at many points so that linear interpolation
will give accurate values at any radial position. The data has been split
into two tables, the first containing data suitable for a two equation
turbulence model codes, and the second the Reynolds stresses.

 The (FORTRAN) format used to read the first set of data should
be: 5E13.3.

    Radial       Axial        Radial       K            Turbulent
    position     velocity     velocity                  viscosity
    1.480E-01    9.280E-01    1.164E-03    2.788E-03    3.673E-04
    1.490E-01    9.269E-01    1.189E-03    2.809E-03    3.672E-04
    1.500E-01    9.258E-01    1.215E-03    2.830E-03    3.670E-04
    1.510E-01    9.248E-01    1.241E-03    2.850E-03    3.718E-04
    1.520E-01    9.237E-01    1.268E-03    2.872E-03    3.766E-04
    1.530E-01    9.225E-01    1.295E-03    2.893E-03    3.812E-04
    1.540E-01    9.214E-01    1.324E-03    2.915E-03    3.858E-04
    1.550E-01    9.203E-01    1.353E-03    2.937E-03    3.902E-04
    1.560E-01    9.192E-01    1.383E-03    2.959E-03    3.945E-04
    1.570E-01    9.180E-01    1.414E-03    2.981E-03    3.987E-04
    1.580E-01    9.168E-01    1.446E-03    3.005E-03    4.028E-04
    1.590E-01    9.157E-01    1.478E-03    3.027E-03    4.067E-04
    1.600E-01    9.145E-01    1.511E-03    3.051E-03    4.107E-04
    1.610E-01    9.133E-01    1.546E-03    3.073E-03    4.143E-04
    1.620E-01    9.121E-01    1.580E-03    3.097E-03    4.179E-04
    1.630E-01    9.109E-01    1.616E-03    3.121E-03    4.214E-04
    1.640E-01    9.097E-01    1.653E-03    3.145E-03    4.247E-04
    1.650E-01    9.084E-01    1.690E-03    3.170E-03    4.280E-04
    1.660E-01    9.072E-01    1.728E-03    3.194E-03    4.311E-04
    1.670E-01    9.059E-01    1.767E-03    3.219E-03    4.341E-04
    1.680E-01    9.047E-01    1.806E-03    3.244E-03    4.369E-04
    1.690E-01    9.034E-01    1.847E-03    3.270E-03    4.396E-04
    1.700E-01    9.021E-01    1.888E-03    3.295E-03    4.422E-04
    1.710E-01    9.008E-01    1.930E-03    3.321E-03    4.446E-04
    1.720E-01    8.995E-01    1.973E-03    3.347E-03    4.469E-04
    1.730E-01    8.982E-01    2.017E-03    3.373E-03    4.490E-04
    1.740E-01    8.969E-01    2.061E-03    3.400E-03    4.511E-04
    1.750E-01    8.955E-01    2.106E-03    3.426E-03    4.529E-04
    1.760E-01    8.942E-01    2.153E-03    3.453E-03    4.546E-04
    1.770E-01    8.928E-01    2.199E-03    3.480E-03    4.561E-04
    1.780E-01    8.915E-01    2.247E-03    3.507E-03    4.575E-04
    1.790E-01    8.901E-01    2.296E-03    3.535E-03    4.588E-04
    1.800E-01    8.887E-01    2.345E-03    3.563E-03    4.599E-04
    1.810E-01    8.873E-01    2.395E-03    3.591E-03    4.608E-04
    1.820E-01    8.859E-01    2.446E-03    3.619E-03    4.616E-04
    1.830E-01    8.845E-01    2.497E-03    3.648E-03    4.623E-04
    1.840E-01    8.831E-01    2.550E-03    3.677E-03    4.627E-04
    1.850E-01    8.816E-01    2.603E-03    3.706E-03    4.630E-04
    1.860E-01    8.802E-01    2.657E-03    3.735E-03    4.631E-04
    1.870E-01    8.787E-01    2.712E-03    3.765E-03    4.631E-04
    1.880E-01    8.773E-01    2.768E-03    3.795E-03    4.629E-04
    1.890E-01    8.758E-01    2.824E-03    3.824E-03    4.625E-04
    1.900E-01    8.743E-01    2.881E-03    3.855E-03    4.619E-04
    1.910E-01    8.728E-01    2.940E-03    3.885E-03    4.612E-04
    1.920E-01    8.713E-01    2.998E-03    3.916E-03    4.603E-04
    1.930E-01    8.698E-01    3.058E-03    3.947E-03    4.592E-04
    1.940E-01    8.682E-01    3.119E-03    3.978E-03    4.579E-04
    1.950E-01    8.667E-01    3.180E-03    4.009E-03    4.564E-04
    1.960E-01    8.652E-01    3.242E-03    4.041E-03    4.547E-04
    1.970E-01    8.636E-01    3.305E-03    4.073E-03    4.529E-04
    1.980E-01    8.620E-01    3.368E-03    4.105E-03    4.508E-04
